"すずき,鈴木","かまだ,鎌田","たかとり,高取","くましろ,神代","ひろいけ,広池","なかつぼ,中坪","やまかど,山門","のぶとう,延藤","くつな,沓名","ふじさか,藤坂","うたまる,歌丸","こはなわ,小華和","でざわ,出沢","まつかた,松形","あつぼ,厚母","いむら,猪村","おかだや,岡田屋","かねま,兼間","くさかみ,草上","これむら,是村","しなと,階戸","そたに,祖谷","ちばた,千畑","なおばやし,直林","はさだ,羽佐田","ふじわ,藤輪","みさご,三砂","やずみ,矢住"
"やまだ,山田","たきた,滝田","ひらいで,平出","こばり,小針","ふたがわ,二川","なだ,名田","ゆん,尹","はざま,挟間","くぼき,窪木","ふちの,渕野","うちま,内間","こぶち,小淵","といた,筧田","まつぬま,松沼","あとだ,跡田","いやす,居安","おかのや,岡ノ谷","かの,仮野","くしがみ,串上","こんたい,金胎","しのき,しの木","そとお,外尾","ちよのふじ,千代の富士","なかいど,仲井戸","はし,枦","ふたかた,二方","みしま,みしま","やたに,弥谷"
"いのうえ,井上","たじり,田尻","ひろた,弘田","こやの,小谷野","ふない,船井","なつはら,夏原","ようだ,養田","はしい,橋井","くぼしま,久保島","ふつかいち,二日市","うちまる,内丸","こまき,古牧","といばな,樋端","まつのうち,松之内","あとべ,跡辺","いやとみ,弥富","おかのや,岡野屋","かの,叶","くしきの,櫛木野","こんたに,近谷","しのたけ,篠竹","そとがき,外垣","ちよのやま,千代の山","なかいね,中稲","はしかた,箸方","ふたかみ,二上","みしま,見嶋","やたべ,矢田辺"
"さいとう,斎藤","たみや,田宮","ふくしま,福嶋","これえだ,是枝","ふなおか,船岡","ななお,七尾","よこすか,横須賀","はしがみ,橋上","くぼしま,窪島","ふなくぼ,船久保","うちみず,内水","こまぎね,駒木根","とう,塔","まつのお,松野尾","あど,亜戸","いやま,居山","おかはた,岡畠","かの,叶野","くしざき,串崎","こんたに,神谷","しのだ,しのだ","そとこば,外木場","ちよまる,千代丸","なかいま,なかいま","はしき,橋木","ふたかみ,二神","みしま,三嶌","やだ,屋田"
"はやし,林","てらさき,寺崎","ふくにし,福西","こんごう,金剛","ふなだ,舟田","なべたに,鍋谷","よこつか,横塚","はしたに,橋谷","くぼでら,窪寺","ふなさか,船坂","うちもと,打本","こませ,駒瀬","とう,湯","まつひろ,松広","あな,阿奈","いやま,猪山","おかひろ,岡弘","かのい,鹿井","くしたに,櫛谷","こんだ,紺田","しのだ,信多","そとざき,外崎","ちわき,血脇","なかうえ,中植","はしぐち,はしぐち","ふたかわ,二川","みしま,美島","やだ,谷田"
"きむら,木村","なぐも,南雲","ふたつぎ,二木","ごしま,五島","ふるえ,古江","なりあい,成相","よこの,横野","はせば,長谷場","くぼにわ,久保庭","ふなざき,舟崎","うちや,打矢","こまた,小股","とうえい,桐栄","まつみ,松実","あない,阿奈井","いよ,伊予","おかべ,岡辺","かのう,加名生","くしはた,串畑","こんだいぼう,渾大坊","しのだ,信太","そとじま,外島","ちわき,千脇","なかえ,中永","はしさこ,橋迫","ふたごいし,二子石","みしまぎ,三島木","やだか,家高"
"まつもと,松本","はやさか,早坂","ふたむら,二村","ごとうだ,後藤田","ふるしま,古島","なるさわ,鳴沢","よしかわ,吉河","はたもと,畑本","くぼむら,久保村","ふなず,船津","うちやまだ,内山田","こまつだ,小松田","とうぎん,当銀","まどか,円","あなくぼ,穴久保","いよ,伊与","おかみ,丘美","かのう,加野","くしはら,櫛原","こんだいぼう,渾大防","しのつか,篠塚","そとばた,外畑","ちわた,千綿","なかえ,仲江","はしさと,橋里","ふたごやま,二子山","みしろ,三城","やだか,矢高"
"ささき,佐々木","ぼく,朴","ほりば,堀場","さいしょ,税所","ほしだ,星田","なるみや,成宮","よしぎ,吉儀","はちじょう,八条","くま,隈","ふなつ,舟津","うつい,宇津井","こまつのみや,小松宮","とうご,藤後","まなべ,間部","あなぐりうす,アナグリウス","いよかわ,五百川","おかみ,尾上","かのう,可能","くしばし,串橋","こんと,紺戸","しのとう,篠藤","そとま,外間","ちんじゅ,鎮守","なかお,なかお","はしずめ,端詰","ふたしま,二島","みすえ,三末","やだて,矢立"
"もり,森","むらお,村尾","まさおか,正岡","さこた,迫田","ほそたに,細谷","なんや,南谷","よしざわ,芳沢","はちのへ,八戸","くまかわ,熊川","ふみの,文野","うつお,撫尾","こまはし,駒橋","とうごう,十合","まばし,馬橋","あなさこ,穴迫","いよく,伊与久","おかみね,岡峯","かのう,家納","くしひき,櫛引","こんど,金土","しののい,篠之井","そとまち,外町","ちんじゅとう,椿樹洞","なかおか,中丘","はしだて,外立","ふたすぎ,二杉","みすお,簾尾","やだま,矢玉"
"しみず,清水","あかばね,赤羽","ますざわ,増沢","ささじま,笹島","ほんいんぼう,本因坊","にいだ,仁井田","よしず,吉津","はつかで,廿日出","くまがえ,熊谷","ふりつ,振津","うつぼ,靭","こまはら,駒原","とうざわ,東沢","ままだ,間々田","あなさわ,穴沢","いよざき,五百崎","おかむら,おかむら","かのう,稼農","くしぶち,櫛淵","こんどう,近堂","しののめ,東雲","そとまつ,外松","ちんぜい,鎮静","なかおけ,中桶","はしとみ,橋富","ふたせ,二瀬","みすぎいそ,三杉磯","やち,矢治"
"やまぐち,山口","うえやま,上山","まつえ,松江","ささべ,笹部","ぼうじょう,坊城","にしき,錦","よしせ,吉瀬","はつむら,初村","くまがわ,熊川","ふりや,降矢","うて,右手","こまば,駒場","とうじょう,東條","ままだ,真々田","あなせ,穴瀬","いよた,伊予田","おかむら,丘村","かのう,金生","くしべ,櫛部","こんぶ,昆布","しのはら,信原","そともと,外本","つぇん,陳","なかかいち,中垣内","はしど,橋渡","ふたた,二田","みすぎさと,三杉里","やちがい,矢地貝"
"いけだ,池田","おぜき,尾関","まつえだ,松枝","さつま,薩摩","まえしろ,真栄城","にしくぼ,西久保","よしなが,良永","はなかご,花篭","くまきり,熊切","ふるおや,古尾谷","うとお,烏頭尾","こみずない,小水内","とうち,戸内","ままだ,侭田","あなみ,穴見","いよだ,伊代田","おかやま,丘山","かのう,金太","くしま,串馬","こんぼ,根保","しのばず,不忍","そとわ,外輪","ついき,筑城","なかかみ,中神","はしね,橋根","ふただ,二田","みすぐち,水口","やちく,八竹"
"おかだ,岡田","おやまだ,小山田","まつしろ,松代","ざいつ,財津","まえた,前田","にむら,仁村","よしば,吉葉","はなさか,花坂","くまはら,熊原","ふるかわ,布留川","うどぐち,鵜戸口","こみね,小嶺","とうち,東地","まや,真屋","あなん,亜南","いよだ,伊豫田","おかわだ,岡和田","かのう,鹿能","くしまうみ,久島海","こんま,近馬","しのぶやま,信夫山","そね,曽子","ついで,津井手","なかかわ,中川","はしはら,土師原","ふたつか,二塚","みすず,三鈴","やちぐさ,八千草"
"はしもと,橋本","かじやま,梶山","まぶち,馬渕","しゅう,周","まごし,馬越","にわた,庭田","よしふじ,吉藤","はなしろ,花城","くまひら,熊平","ふるき,古城","うねむら,畝村","こみや,込谷","とうどう,東堂","まや,真矢","あなん,阿難","いよまさ,弥政","おがい,小貝","かのう,鹿野","くしみや,串宮","こんま,金馬","しのべ,篠部","そねがわ,曽根川","ついひじ,対比地","なかがい,中貝","はしま,羽島","ふたつき,二木","みすみ,美澄","やちぐち,谷内口"
"おがわ,小川","かせ,加瀬","みずもと,水本","しょうだ,勝田","まさだ,正田","ぬくい,貫井","よします,吉増","はなみ,花見","くままる,隈丸","ふるごおり,古郡","うのき,卯之木","こむた,小牟田","とうはら,東原","まり,万里","あねかわ,姉川","いよむ,廉","おがき,尾垣","かのう,和","くしむら,串村","こんま,今駒","しのべ,信部","そねざき,曽根崎","ついひじ,築比地","なかがき,中恒","はしもと,はしもと","ふたつや,二谷","みすみだ,三隅田","やちご,八児"
"いしかわ,石川","きっかわ,吉川","みと,三戸","しょうの,生野","まざき,真崎","ぬのい,布井","よしみつ,吉光","はなや,花谷","くまもと,隈本","ふるさか,古坂","うのとろ,鵜瀞","こむろ,古室","とうばる,桃原","まりこ,鞠子","あねがこうじ,姉小路","いよもと,伊予本","おがさか,小賀坂","かのお,狩野尾","くしや,櫛谷","こんや,近谷","しのまる,篠丸","そねつじ,曽根辻","つうき,通木","なかがた,中瀉","はしもり,端盛","ふたつやなぎ,二ツ柳","みずあし,水芦","やちむら,谷地村"
"こんどう,近藤","さいじょう,西条","みやまえ,宮前","しげの,茂野","ますはら,増原","ぬのむら,布村","よしもと,善本","はなやま,華山","くまやま,熊山","ふるたち,古立","うばやま,姥山","こめいじ,古明地","とうふく,東福","まりも,毬藻","あねたい,姉帯","いらこ,五十子","おがしま,小鹿島","かのがわ,加納川","くしろ,久代","こんや,紺屋","しのみ,四野見","その,爾","つえした,杖下","なかがね,中金","はしやだ,橋谷田","ふたな,二名","みずいけ,水池","やちもり,谷地森"
"いしい,石井","ささもと,笹本","もりやす,森安","しげみつ,重光","まなべ,真辺","ぬのめ,布目","よしや,吉屋","はまはた,浜畑","くみた,組田","ふるにし,古西","うぶかた,産形","こめや,米屋","とうへい,藤平","まるいち,丸一","あの,亜野","いり,伊利","おがた,小潟","かのすえ,彼末","くじ,久司","こんや,紺谷","しのみや,四之宮","その,岨野","つえだ,潰田","なかがま,中釜","はしやま,橋山","ふたはぐろ,双羽黒","みずいわ,瑞岩","やつい,八井"
"はせがわ,長谷川","しょうだ,正田","やなぎや,柳谷","ししくら,宍倉","まふね,真船","ぬまぐち,沼口","よしやす,吉安","はまべ,浜辺","くめがわ,久米川","ふるはた,降籏","うまおか,馬岡","こもた,薦田","とうほ,東保","まるすぎ,丸杉","あのう,安能","いり,入","おがた,象形","かのだ,鹿野田","くじ,久地","ごーまん,ゴーマン","しのむら,篠村","その,素野","つえむら,杖村","なかがみ,仲神","はしら,柱","ふたば,二場","みずうみ,湖","やつき,八ッ木"
"あべ,阿部","すがや,菅谷","やまもり,山森","しだ,信太","まやま,間山","ねい,根井","よない,米内","はままつ,浜松","くもん,久門","ふるまい,古米","うまこし,馬越","こもと,古元","とうほう,東方","まるち,丸地","あひこ,阿彦","いりきだ,入木田","おがた,織方","かのはら,花野原","くじゅうろ,久住呂","ごあみ,五阿弥","しば,しば","そのいえ,園家","つお,津尾","なかがらす,中烏","はじめ,一","ふたばてい,二葉亭","みずかい,水飼","やつぎ,谷城"
"なかじま,中島","すみ,角","よこち,横地","しば,斯波","まるはし,丸橋","のうだ,能田","よなは,与那覇","はやかわ,速川","くらぞの,蔵園","ふるみ,古見","うまの,馬野","こもと,小本","とうま,東馬","まるはま,丸浜","あびき,安引","いりくち,入口","おがた,尾潟","かのまた,鹿又","くじゅうろ,久重路","ごい,互井","しば,志馬","そのかわ,園川","つかお,塚尾","なかがわ,中側","はすおか,蓮岡","ふたばやま,双葉山","みずかが,水利","やつけ,矢附"
"やまざき,山崎","たどころ,田所","あかほり,赤堀","しまくら,島倉","みお,三尾","のざか,野坂","よねくぼ,米窪","はやし,早矢仕","くらち,倉智","ふるや,古矢","うみべ,海辺","こもり,古守","とうまつ,東松","まるめ,丸目","あびこ,我孫子","いりさか,入坂","おがはら,小鹿原","かのみ,嘉ノ海","くじょう,公庄","ごいずか,五位塚","しばい,芝井","そのかわ,薗川","つかさ,政","なかがわ,中沢","はすかわ,蓮川","ふたませ,二間瀬","みずかね,水兼","やつしま,八島"
"あおき,青木","つくだ,佃","あかま,赤間","しまなか,島中","みき,三樹","ののみや,野々宮","よねしげ,米重","はやしま,早島","くらつか,倉塚","ぶんどう,豊道","うめい,梅井","こもりだ,小森田","とうまつ,等松","まるもと,丸元","あふそ,安富祖","いりた,入田","おがま,小蒲","かはし,加橋","くじかわ,久慈川","ごいぶち,牛井渕","しばうち,柴内","そのがしら,園頭","つかさき,司城","なかき,仲木","はすざわ,蓮沢","ふたまつ,二松","みずがえ,水ケ江","やつずか,八ッ塚"
"ふじた,藤田","ところ,所","あさだ,朝田","しまぬき,島貫","みさか,三坂","のぶくに,信国","よねつ,米津","はやみず,早水","くらなが,倉長","へや,部矢","うめこうじ,梅小路","こやうち,小谷内","とうめい,東明","まん,万","あぶかわ,虻川","いりむら,入村","おがめ,尾亀","かはた,加畑","くじめ,久次米","ごう,江","しばうち,芝内","そのき,園城","つかしま,塚島","なかきむら,中木村","はすの,蓮野","ふたみ,二美","みずがき,水柿","やつずか,八束"
"おおた,太田","ひが,比嘉","あらい,新居","しらはた,白幡","みずうち,水内","のぶち,野淵","よねの,米野","はやみず,速水","くらなり,倉成","べにや,紅谷","うめしま,梅島","これかわ,是川","とうめい,当銘","まんちゅう,万仲","あぶく,安福","いりもと,入本","おがやま,小鹿山","かはら,賀原","くじめ,鬮目","ごうけ,郷家","しばえ,柴江","そのき,園木","つかだ,都賀田","なかぎ,仲木","はすはら,蓮原","ふたみ,二味","みずき,水喜","やつど,八度"
"ごとう,後藤","ふるはし,古橋","いかり,猪狩","しろま,城間","みぞた,溝田","のまち,野町","よねばやし,米林","はらざき,原崎","くらにし,倉西","ほった,発田","うめだ,楳田","これつね,是恒","とうもと,東本","まんどころ,政所","あぶみ,鐙","いりや,入矢","おがわ,雄川","かばさわ,椛山","くじら,鯨","ごうた,合田","しばお,柴生","そのぐち,園口","つかねまつ,束松","なかぎし,仲岸","はすや,蓮舎","ふたむれ,二牟礼","みずき,水気","やつはし,八ツ橋"
"ふじい,藤井","まき,真木","いけたに,池谷","しろやま,城山","みついし,光石","のみぞ,野溝","ら,羅","はるかぜ,春風","くらね,倉根","ほっち,発智","うらくぼ,浦久保","これつね,是常","とうもり,東森","まんなみ,万波","あぶらがわ,油川","いるか,入鹿","おがわはら,小川原","かばしま,椛嶋","くす,久須","ごうたに,合谷","しばお,柴尾","そのけ,園家","つかばやし,塚林","なかぎり,中吉","はず,羽豆","ふたわたり,二渡","みずき,水紀","やつはま,八浜"
"まえだ,前田","もとやま,本山","いしはま,石浜","しん,進","みとべ,水戸部","のりすぎ,乗杉","りゅうざき,竜崎","はるもと,春本","くらの,倉野","ほあし,保芦","うらごう,浦郷","これやす,是安","とえだ,戸枝","まんなり,万成","あぶらき,油木","いるかやま,入鹿山","おがわはら,尾川原","かばしま,蒲島","くすうち,楠内","ごうだ,業田","しばお,芝生","そのした,園下","つかべ,つかべ","なかくき,中茎","はず,波津","ふだらく,補佗落","みずき,水記","やつぼし,八星"
"むらかみ,村上","やなせ,柳瀬","いず,伊豆","しんざと,新里","みなかわ,皆川","はいだ,灰田","りのいえ,李家","はれやま,晴山","くらます,倉増","ほう,鳳","うらじ,浦路","ころもがわ,衣川","とえだ,十枝","まんの,万野","あぶらだな,油棚","いるまだ,入間田","おき,興","かばた,嘉幡","くすがわ,楠川","ごうだ,閤田","しばお,芝尾","そのたに,園谷","つかまつ,束松","なかくら,仲倉","はずか,羽塚","ふちのうえ,淵之上","みずき,水月","やつみみ,八耳"
"おかもと,岡本","やましろ,山城","いぜき,井関","しんや,新谷","みなみで,南出","はたい,畑井","わかた,若田","はん,范","くらもち,蔵持","ほうげつ,宝月","うらはま,浦浜","こわか,小若","とお,戸尾","みょうじょう,明星","あぶらつ,油津","いるまの,入間野","おきあゆ,置鮎","かばた,賀幡","くすき,楠木","ごうだ,剛田","しばかり,柴刈","そのむら,薗村","つかむら,束村","なかぐき,中岫","はずみ,羽住","ふちむかい,渕向","みずき,水樹","やつめ,八目"
"はら,原","うめもと,梅本","いたい,板井","じゅうもんじ,十文字","みね,峯","はただ,畠田","わかたけ,若竹","はんにゃ,盤若","くり,九里","ほうざわ,朴沢","うらまつ,浦松","こわだ,古和田","とおさき,遠崎","みあき,三秋","あぶらや,油屋","いれ,伊礼","おきがき,沖垣","かばやま,蒲山","くすど,楠戸","ごうつ,郷津","しばさか,柴坂","そのもと,園元","つかもと,柄本","なかぐま,中熊","はせ,馳","ふちやま,淵山","みずき,瑞樹","やつもり,八森"
"おの,小野","おおいずみ,大泉","いちのせ,一ノ瀬","すいた,吹田","みねぎし,峯岸","はちむら,八村","わかやま,和歌山","ばんば,馬場","くりやがわ,栗谷川","ほうたに,宝谷","うらや,浦谷","こん,紺","とおま,遠間","みあけ,見明","あぶらや,油谷","いろかた,色形","おきき,沖喜","かふとう,加府藤","くすね,楠根","ごうと,合戸","しばさわ,柴沢","そはま,祖浜","つが,津賀","なかこ,仲子","はせお,馳尾","ふちわき,渕脇","みずくち,水口","やと,矢戸"
"なかがわ,中川","かじた,梶田","いとい,糸井","すがさわ,菅沢","みやもと,宮元","はつやま,初山","わきざか,脇坂","ひえかた,稗方","くるしま,来島","ほうばら,芳原","うりゅうず,瓜生津","こんい,紺井","とおる,亨","みい,三位","あべ,アベ","いわいけ,岩池","おきくら,沖倉","かぶき,蕪木","くすはし,楠橋","ごうの,郷野","しばた,司馬田","そはら,曽原","つがい,番井","なかこうじ,仲小路","はせお,長谷尾","ふつはら,仏原","みずぐき,水茎","やとぎ,矢都木"
"にしむら,西村","かなまる,金丸","いのくま,猪熊","すぎい,杉井","みやら,宮良","はながた,花形","わくた,和久田","ひかげ,日景","くるす,栗栖","ほかり,保刈","うりた,瓜田","こんだ,昆田","とかど,戸門","みうら,美浦","あべ,安辺","いわいさき,祝前","おきぐち,沖口","かぶとや,甲谷","くすばやし,楠林","ごうのう,郷農","しばた,紫田","そばみ,側見","つがき,津垣","なかこし,中越","はせお,長谷雄","ふつはら,蓬原","みずこし,水こし","やとみ,弥冨"
"たけうち,竹内","きじま,木島","いまえだ,今枝","すすきだ,薄田","むかいだ,向田","はなしま,花島","わくだ,和久田","ひかり,光","くれたに,榑谷","ほくら,保倉","うるし,漆","こんとう,近東","とがえり,十返","みえ,三重","あべかわ,安部川","いわいざこ,祝迫","おきさか,沖坂","かぶはし,株橋","くすべ,楠部","ごうのめ,江目","しばだち,柴立","そふかわ,曽布川","つがた,都賀田","なかご,中後","はせがわ,長瀬川","ふてんま,普天間","みずこし,水腰","やとめ,矢留"
"ふくだ,福田","こだま,小玉","うしお,潮","すはら,須原","むねむら,宗村","はねいし,羽石","わたかべ,渡壁","ひがしおんな,東恩納","くれない,紅","ほさき,保崎","うるしど,漆戸","こんどう,金堂","とがのお,栂野尾","みお,美尾","あべしま,阿部島","いわいだ,岩井田","おきずか,起塚","かぶやま,蕪山","くすみ,くすみ","ごうばら,郷原","しばつじ,芝辻","そぶかわ,曽布川","つがねさわ,津金沢","なかごう,中郷","はせさか,長谷坂","ふで,筆","みずこだ,水小田","やど,矢土"
"まつだ,松田","しんどう,新藤","うめの,梅野","すはら,栖原","むらさき,紫","はまにし,浜西","わただ,和多田","ひがしがわ,東川","くれぬま,榑沼","ほしざき,星崎","うれしの,嬉野","こんない,近内","とがり,外狩","みかた,三方","あべた,安部田","いわいだ,慶田","おきせ,沖瀬","かぶら,蕪","くすめぎ,久寿米木","ごうばる,合原","しばと,柴戸","そまのしょう,杣庄","つがみ,津神","なかさ,中狭","はせべ,支部","ふでうち,筆内","みずし,水四","やどうまる,矢動丸"
"わだ,和田","せいの,清野","うめわか,梅若","すみだ,角田","むらはし,村橋","はまや,浜屋","わたや,綿谷","ひがしくぜ,東久世","くれまつ,榑松","ほずみ,保積","うわたき,上滝","ご,伍","とがり,戸刈","みかど,見角","あべの,阿部野","いわいで,岩出","おきた,起田","かべ,賀部","くすもと,久須本","ごうま,郷間","しばとみ,柴富","そみや,曽宮","つがみ,都上","なかさ,中佐","はせみ,長谷美","ふでさか,筆坂","みずしな,水科","やどばし,宿橋"
"たむら,田村","たかす,高須","うらがみ,浦上","せきや,関矢","むろや,室谷","はらおか,原岡","わつじ,和辻","ひがしぐち,東口","くろお,黒尾","ほそぎ,細木","うわの,宇和野","ごうくら,郷倉","とがわ,登川","みかの,三甲野","あほ,阿呆","いわいはら,祝原","おきたに,沖谷","かべい,壁井","くすや,楠家","ごうもと,郷本","しばのと,柴廼戸","そむら,曽村","つがる,つがる","なかさこ,中佐古","はせめ,長谷目","ふでのや,筆の屋","みずしま,みづしま","やどまえ,宿前"
"やました,山下","たかばたけ,高畠","えさき,江崎","せぐち,瀬口","もとの,本野","はりう,針生","わに,和仁","ひきだ,疋田","くろおか,黒岡","ほそつじ,細辻","うわぶ,上符","ごうこん,郷右近","ときざわ,時沢","みき,御喜","あま,阿満","いわえ,岩江","おきち,興地","かべさわ,壁沢","くず,くず","ごうもり,郷守","しばはま,芝浜","そめごう,染郷","つがるや,津軽家","なかさこ,中迫","はぜき,櫨木","ふと,風戸","みずしま,美津島","やどみ,弥富"
"はらだ,原田","ちん,陳","えもり,江守","せぬま,瀬沼","ももたに,桃谷","はりがや,針ケ谷","あいざわ,藍沢","ひこよし,彦由","くろがね,黒金","ほたい,保田井","うわよこて,上横手","ごうず,郷津","ときざわ,鴇沢","みき,三喜","あまいけ,天池","いわおさ,岩長","おきどい,沖土居","かべむら,壁村","くずい,葛生","ごうりき,合力","しばま,芝間","そめのや,染の屋","つがわ,対川","なかさわ,ナカサワ","はぜくら,支倉","ふとなか,太中","みずしま,未津島","やどもと,宿本"
"なかの,中野","とくがわ,徳川","おおいで,大出","そえだ,副田","もりおか,盛岡","はりや,針谷","あいだ,間","ひさ,比佐","くろこ,黒子","ほたか,穂高","うんじょう,運上","ごうない,郷内","ときすえ,時末","みき,造酒","あまいし,天石","いわおし,岩押","おきなか,冲中","かべやさわ,壁谷沢","くずお,葛生","ごか,五箇","しばみや,柴宮","そめやま,染山","つがわ,都河","なかさわ,中沢","はぜやま,枦山","ふとり,太","みずしろ,水城","やな,八名"
"いしだ,石田","とつか,戸塚","おおしお,大塩","たうち,田内","もりしま,森嶋","はるはら,春原","あいとく,相徳","ひさき,久木","くろごうち,黒河内","ほたに,保谷","うんりんいん,雲林院","ごうはら,合原","ときだ,時田","みき,美木","あまいずみ,甘泉","いわおり,岩織","おきなみ,沖波","かべやざわ,壁谷沢","くずがき,葛垣","ごかいどう,五街道","しばみや,芝宮","そやの,征矢野","つき,月","なかざい,中才","はそべ,羽曽部","ふどう,不藤","みずせ,水瀬","やな,梁"
